               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.018312,            0.029318,           0.0092245,               0.925,             0.67162,             0.68585,             0.55939,            0.023096,           0.0045411,           0.0069102,           0.0025241,           0.0025241,           0.0025241
                  75,            0.018191,            0.028983,           0.0089715,             0.92692,             0.67011,             0.68597,             0.56008,            0.023048,           0.0045293,           0.0068865,           0.0024195,           0.0024195,           0.0024195
                  76,            0.017959,            0.028904,           0.0088411,             0.92399,             0.67426,              0.6863,             0.56091,             0.02301,           0.0045182,           0.0068616,            0.002318,            0.002318,            0.002318
                  77,            0.017987,            0.028656,           0.0087979,             0.92891,              0.6699,             0.68672,             0.56109,            0.022978,           0.0045103,           0.0068453,           0.0022196,           0.0022196,           0.0022196
                  78,            0.017815,            0.028533,           0.0087053,             0.92947,             0.67029,             0.68711,             0.56169,             0.02295,           0.0045023,           0.0068377,           0.0021245,           0.0021245,           0.0021245
                  79,            0.017715,            0.028379,           0.0086737,              0.9298,             0.67114,             0.68739,             0.56223,            0.022922,           0.0044943,           0.0068249,           0.0020327,           0.0020327,           0.0020327
                  80,            0.017415,            0.028045,           0.0083653,             0.93078,             0.67073,             0.68757,             0.56295,              0.0229,           0.0044866,            0.006806,           0.0019443,           0.0019443,           0.0019443
                  81,            0.017356,            0.027723,           0.0084268,              0.9319,             0.67031,             0.68805,             0.56363,            0.022869,           0.0044772,            0.006782,           0.0018594,           0.0018594,           0.0018594
                  82,            0.017187,            0.027677,           0.0081236,             0.93204,             0.67103,             0.68835,             0.56393,            0.022832,           0.0044685,           0.0067628,           0.0017781,           0.0017781,           0.0017781
                  83,            0.017015,            0.027497,            0.008034,             0.93245,             0.67212,             0.68887,             0.56475,            0.022795,           0.0044605,           0.0067445,           0.0017005,           0.0017005,           0.0017005
                  84,            0.016998,            0.027155,            0.008079,             0.93406,             0.67088,             0.68939,             0.56544,            0.022752,           0.0044521,           0.0067324,           0.0016267,           0.0016267,           0.0016267
                  85,            0.016768,            0.027005,           0.0078926,             0.93502,             0.67094,             0.68957,             0.56595,            0.022707,           0.0044423,           0.0067198,           0.0015566,           0.0015566,           0.0015566
                  86,            0.016567,            0.026862,           0.0078262,             0.93459,             0.67259,             0.68997,             0.56649,            0.022669,           0.0044339,           0.0067125,           0.0014905,           0.0014905,           0.0014905
                  87,            0.016603,            0.026678,           0.0078324,             0.93527,             0.67305,             0.69062,             0.56704,            0.022635,           0.0044255,           0.0067017,           0.0014283,           0.0014283,           0.0014283
                  88,            0.016575,            0.026721,           0.0077899,             0.93433,             0.67366,             0.69075,             0.56736,            0.022591,           0.0044179,           0.0066946,           0.0013701,           0.0013701,           0.0013701
                  89,            0.016387,            0.026405,           0.0075527,             0.93702,             0.67209,             0.69112,              0.5682,             0.02256,           0.0044095,           0.0066751,            0.001316,            0.001316,            0.001316
                  90,            0.016268,            0.026111,           0.0074597,             0.93499,             0.67375,             0.69124,             0.56871,            0.022527,           0.0044027,            0.006659,            0.001266,            0.001266,            0.001266
                  91,            0.016164,            0.026198,            0.007441,             0.93538,             0.67462,             0.69164,             0.56926,            0.022492,           0.0043948,           0.0066542,           0.0012202,           0.0012202,           0.0012202
                  92,            0.016168,            0.025986,           0.0074631,             0.93483,              0.6751,              0.6919,             0.56984,             0.02246,           0.0043876,           0.0066481,           0.0011787,           0.0011787,           0.0011787
                  93,            0.015997,            0.025546,           0.0072211,             0.93509,             0.67543,             0.69224,             0.57007,            0.022427,           0.0043803,           0.0066389,           0.0011414,           0.0011414,           0.0011414
                  94,            0.015885,            0.025635,           0.0072714,             0.94092,             0.67147,             0.69253,             0.57067,            0.022397,           0.0043721,           0.0066339,           0.0011084,           0.0011084,           0.0011084
                  95,            0.015919,            0.025689,           0.0071476,             0.93923,             0.67349,             0.69277,             0.57094,            0.022366,           0.0043654,           0.0066267,           0.0010797,           0.0010797,           0.0010797
                  96,            0.015805,            0.025434,            0.007091,              0.9449,             0.66993,             0.69315,             0.57133,            0.022337,           0.0043582,            0.006618,           0.0010554,           0.0010554,           0.0010554
                  97,            0.015763,            0.025357,           0.0071693,             0.94889,             0.66783,              0.6935,             0.57212,            0.022302,           0.0043505,           0.0066057,           0.0010355,           0.0010355,           0.0010355
                  98,            0.015812,            0.025303,           0.0070651,             0.94824,             0.66894,             0.69382,              0.5732,            0.022265,           0.0043432,           0.0066008,             0.00102,             0.00102,             0.00102
                  99,            0.015645,            0.025281,           0.0070592,             0.94851,             0.66928,             0.69411,             0.57356,            0.022228,           0.0043359,           0.0065946,           0.0010089,           0.0010089,           0.0010089
